PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
Khunti,11,ST,Jharkhand,Karia Munda,Bharatiya Janta Party,980868,510352,52.0 %,80175,15.7%,AC View
Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Asrarul Haque,Indian National Congress,1186369,626914,52.8 %,80269,12.8%,AC View
Kodarma,5,GEN,Jharkhand,Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),1390428,780555,56.1 %,48520,6.2%,AC View
Kokrajhar,5,ST,Assam,Sansuma Khunggur Bwiswmuthiary,Bodaland Peoples Front,1377837,1015053,73.7 %,190322,18.7%,AC View
Kolar,28,SC,Karnataka,K.H.Muniyappa,Indian National Congress,1340923,928350,69.2 %,23006,2.5%,AC View
Kolhapur,47,GEN,Maharashtra,Sadashivrao Dadoba Mandlik,Independent,1583030,1029203,65.0 %,44800,4.4%,AC View
Kolkata Dakshin,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,1505638,1008329,67.0 %,219571,21.8%,AC View
Kolkata Uttar,24,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,1366647,878866,64.3 %,109278,12.4%,AC View
Kollam,18,GEN,Kerala,N.Peethambarakurup,Indian National Congress,1108686,754928,68.1 %,17531,2.3%,AC View
Koppal,8,GEN,Karnataka,Shivaramagouda Shivanagouda,Bharatiya Janta Party,1363431,754803,55.4 %,81789,10.8%,AC View
Koraput,21,ST,Orissa,Jayaram Pangi,Biju Janata Dal,1217768,759610,62.4 %,96360,12.7%,AC View
Korba,4,GEN,Chhattisgarh,Charan Das Mahant,Indian National Congress,1276443,745617,58.4 %,20737,2.8%,AC View
Kota,24,GEN,Rajasthan,Ijyaraj Singh,Indian National Congress,1498971,682181,45.5 %,83093,12.2%,AC View
Kottayam,14,GEN,Kerala,Jose K.Mani (Karingozheckal),Kerala Congress(M),1095242,809844,73.9 %,71570,8.8%,AC View
Kozhikode,5,GEN,Kerala,M.K. Raghavan,Indian National Congress,1053817,799996,75.9 %,838,0.1%,AC View
Krishnagiri,9,GEN,Tamil Nadu,Sugavanam. E.G.,Dravida Munetra Kazhagam,1014758,752583,74.2 %,76598,10.2%,AC View
Krishnanagar,12,GEN,West Bengal,Tapas Paul,All India Trinamool Congress,1223082,1047125,85.6 %,77386,7.4%,AC View
Kurnool,35,GEN,Andhra Pradesh,Kotla Jaya Surya Prakash Reddy,Indian National Congress,1307312,873551,66.8 %,73773,8.4%,AC View
Kurukshetra,2,GEN,Haryana,Naveen Jindal,Indian National Congress,1166684,875415,75.0 %,118729,13.6%,AC View
Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Ku. Ratanjeet Pratap Narayan Singh,Indian National Congress,1438263,731041,50.8 %,21094,2.9%,AC View
Ladakh,4,GEN,Jammu & Kashmir,Hassan Khan,Independent,152491,111013,72.8 %,3684,3.3%,AC View
Lakhimpur,14,GEN,Assam,Ranee Narah,Indian National Congress,1332518,909812,68.3 %,44572,4.9%,AC View
Lakshadweep,1,ST,Lakshadweep,Hamdullah Sayeed,Indian National Congress,45983,39498,85.9 %,2198,5.6%,AC View
Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Dr. Baliram,Bahujan Samaj Party,1509536,659042,43.7 %,39948,6.1%,AC View
Latur,41,SC,Maharashtra,Awale Jaywant Gangaram,Indian National Congress,1509987,829585,54.9 %,7975,1.0%,AC View
Lohardaga,12,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,981666,522402,53.2 %,8283,1.6%,AC View
Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Lal Ji Tandon,Bharatiya Janta Party,1653123,587772,35.6 %,40901,7.0%,AC View
Ludhiana,7,GEN,Punjab,Manish Tewari,Indian National Congress,1309308,846277,64.6 %,113706,13.4%,AC View
Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Tufani Saroj,Samajwadi Party,1751074,717824,41.0 %,24306,3.4%,AC View
Machilipatnam,28,GEN,Andhra Pradesh,Konakalla Narayana Rao,Telugu Desam,1251053,1052352,84.1 %,12456,1.2%,AC View
Madha,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,1558442,919449,59.0 %,314459,34.2%,AC View
Madhepura,13,GEN,Bihar [2000 Onwards],Sharad Yadav,Janata Dal (United),1508361,756468,50.2 %,177621,23.5%,AC View
Madhubani,6,GEN,Bihar [2000 Onwards],Hukmadeo Narayan Yadav,Bharatiya Janta Party,1397256,556572,39.8 %,9927,1.8%,AC View
Madurai,32,GEN,Tamil Nadu,Alagiri M.K,Dravida Munetra Kazhagam,1022421,792011,77.5 %,140985,17.8%,AC View
Mahabubabad,16,ST,Andhra Pradesh,P. Balram,Indian National Congress,1265396,996860,78.8 %,68957,6.9%,AC View
Maharajganj,19,GEN,Bihar [2000 Onwards],Uma Shanaker Singh,Rashtriya Janata Dal,1312219,599531,45.7 %,2797,0.5%,AC View
Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Harsh Vardhan,Indian National Congress,1509167,599531,39.7 %,123628,20.6%,AC View
Mahasamund,9,GEN,Chhattisgarh,Chandulal Sahu (Chandu Bhaiya),Bharatiya Janta Party,1369154,776337,56.7 %,51475,6.6%,AC View
Mahbubnagar,11,GEN,Andhra Pradesh,K. Chandrasekhar Rao,Telangana Rashtra Samithi,1368868,927588,67.8 %,20184,2.2%,AC View
Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1393970,692685,49.7 %,21865,3.2%,AC View
