[LINE 359] UID=BR1952PC12 | family_rows=1 | sources_rows=3
[LINE 360] UID=BR1952PC14 | family_rows=1 | sources_rows=3
[LINE 361] UID=BR1952PC13 | family_rows=1 | sources_rows=5
[LINE 362] UID=TN1952PC135 | family_rows=1 | sources_rows=3
[LINE 363] UID=TN1952PC154 | family_rows=1 | sources_rows=3
[LINE 364] UID=TN1952PC168 | family_rows=1 | sources_rows=1
[LINE 365] UID=UP1952PC214 | family_rows=1 | sources_rows=5
[LINE 366] UID=TN1952PC151 | family_rows=1 | sources_rows=4
[LINE 367] UID=TN1952PC176 | family_rows=1 | sources_rows=4
[LINE 368] UID=TN1952PC176 | family_rows=1 | sources_rows=1
[LINE 369] UID=MH1952PC73 | family_rows=2 | sources_rows=4
[LINE 370] UID=MH1952PC74 | family_rows=1 | sources_rows=4
[LINE 371] UID=UP1952PC249 | family_rows=1 | sources_rows=3
[LINE 372] UID=UP1952PC248 | family_rows=8 | sources_rows=5
[LINE 373] UID=UP1952PC248 | family_rows=1 | sources_rows=2
[LINE 374] UID=TN1952PC153 | family_rows=1 | sources_rows=3
[LINE 375] UID=OR1952PC189 | family_rows=4 | sources_rows=4
[LINE 376] UID=BR1952PC44 | family_rows=1 | sources_rows=1
[LINE 377] UID=BR1952PC45 | family_rows=1 | sources_rows=5
[LINE 378] UID=BR1952PC45 | family_rows=1 | sources_rows=1
[LINE 379] UID=BR1952PC43 | family_rows=1 | sources_rows=1
[LINE 380] UID=KL1952PC373 | family_rows=2 | sources_rows=2
[LINE 381] UID=KL1952PC373 | family_rows=2 | sources_rows=4
[LINE 382] UID=MP1952PC384 | family_rows=1 | sources_rows=1
[LINE 383] UID=TN1952PC121 | family_rows=1 | sources_rows=6
[LINE 384] UID=TN1952PC121 | family_rows=1 | sources_rows=3
[LINE 385] UID=TN1952PC165 | family_rows=1 | sources_rows=3
[LINE 386] UID=UP1952PC217 | family_rows=1 | sources_rows=3
[LINE 387] UID=BR1952PC49 | family_rows=1 | sources_rows=3
[LINE 388] UID=BR1952PC50 | family_rows=1 | sources_rows=3
[LINE 389] UID=MH1952PC82 | family_rows=1 | sources_rows=3
[LINE 390] UID=MH1952PC83 | family_rows=1 | sources_rows=4
[LINE 391] UID=OR1952PC178 | family_rows=1 | sources_rows=1
[LINE 392] UID=MP1952PC399 | family_rows=1 | sources_rows=3
[LINE 393] UID=PB1952PC195 | family_rows=3 | sources_rows=5
[LINE 394] UID=MH1952PC56 | family_rows=1 | sources_rows=3
[LINE 395] UID=MP1952PC102 | family_rows=1 | sources_rows=3
[LINE 396] UID=UP1952PC219 | family_rows=1 | sources_rows=4
[LINE 397] Existing error preserved | UID=UP1952PC219
[LINE 398] UID=TN1952PC147 | family_rows=1 | sources_rows=5
[LINE 399] UID=BR1952PC32 | family_rows=1 | sources_rows=1
[LINE 400] UID=OR1952PC181 | family_rows=1 | sources_rows=3
[LINE 401] UID=PB1952PC343 | family_rows=1 | sources_rows=4
[LINE 402] Existing error preserved | UID=TN1952PC163
