ac no,ac name,type,district,winning candidate,party,total electors,total votes,poll %,margin,margin %,father/husband name,gender,age,UID
118,Chilika,,Khurda District,Pruthibiraj Harichandan,	Bharatiya Janata Party,,83264,49.51,,,,,,OR2024AC118
119,Ranpur,,Nayagarh district,Surama Padhy,	Bharatiya Janata Party,,81439,52.27,,,BIPIN BIHARI PADHY,female,63.0,OR2024AC119
120,Khandapada,,Nayagarh district,Dusmanta Kumar Swain,	Bharatiya Janata Party,,75557,50.72,,,Basanta Kumar Swain,male,49.0,OR2024AC120
121,Daspalla,SC,Nayagarh district,Ramesh Chandra Behera,Biju Janata Dal,,62039,44.4,,,LATE JAGANNATH BEHERA,male,48.0,OR2024AC121
122,Nayagarh,,Nayagarh district,Arun Kumar Sahoo,Biju Janata Dal,,81959,48.74,,,,,,OR2024AC122
123,Bhanjanagar,,Ganjam district,Pradyumna Kumar Nayak,	Bharatiya Janata Party,,83822,51.06,,,SHYAMA SUNDAR NAYAK,male,57.0,OR2024AC123
124,Polasara,,Ganjam district,Gokula Nanda Mallik,	Bharatiya Janata Party,,85737,53.33,,,,,,OR2024AC124
125,Kabisurjyanagar,,Ganjam district,Pratap Chandra Nayak,	Bharatiya Janata Party,,80995,55.79,,,KALI CHARAN NAYAK,male,46.0,OR2024AC125
126,Khalikote,,Ganjam district,Purna Chandra Sethy,	Bharatiya Janata Party,,80230,53.82,,,Chaitanya Sethy,male,70.0,OR2024AC126
127,Chhatrapur,,Ganjam district,Krushna Chandra Nayak,	Bharatiya Janata Party,,74983,48.0,,,RAMESH NAYAK,male,39.0,OR2024AC127
128,Asika,,Ganjam district,Saroj Kumar Padhi,	Bharatiya Janata Party,,59083,49.21,,,LATE ANANTA RAMA PADHI,male,68.0,OR2024AC128
129,Surada,,Ganjam district,Nilamani Bisoyi,	Bharatiya Janata Party,,83625,54.71,,,LATE MURALI BISOYI,male,53.0,OR2024AC129
130,Sanakhemundi,,Ganjam district,Ramesh Chandra Jena,Indian National Congress,,65867,44.65,,,ARAKHITA JENA,male,46.0,OR2024AC130
131,Hinjili,,Ganjam district,Nabeen Patnaik,Biju Janata Dal,,66459,46.85,,,,,,OR2024AC131
132,Gopalpur,,Ganjam district,Bibhuti Bhusan Jena,	Bharatiya Janata Party,,72071,50.11,,,,,,OR2024AC132
133,Berhampur,,Ganjam district,K. Anil Kumar,	Bharatiya Janata Party,,54997,43.93,,,K. BABJEE,male,53.0,OR2024AC133
134,Digapahandi,,Ganjam district,Sidhant Mohapatra,	Bharatiya Janata Party,,72908,49.21,,,MANMOHAN MOHAPATRA,male,57.0,OR2024AC134
135,Chikiti,,Ganjam district,Manoranjan Dyan Samantara,	Bharatiya Janata Party,,69839,49.67,,,CHINTAMANI DYAN SAMANTARA,male,52.0,OR2024AC135
136,Mohana,ST,Gajapati district,Dasarathi Gomango,Indian National Congress,,62117,34.64,,,,,,OR2024AC136
137,Paralakhemundi,,Gajapati district,Rupesh Kumar Panigrahi,Biju Janata Dal,,56027,37.58,,,Tirupati Panigrahi,male,40.0,OR2024AC137
138,Gunupur,ST,Rayagada district,Satyajeet Gomango,Indian National Congress,,77637,47.8,,,BHUBANESWAR GOMANGO,male,33.0,OR2024AC138
139,Bissam-Cuttack,ST,Rayagada district,Nilamadhab Hikaka,Indian National Congress,,68446,37.25,,,MALATI HIKAKA,male,43.0,OR2024AC139
140,Rayagada,ST,Rayagada district,Kadraka Appala Swamy,Indian National Congress,,87482,45.81,,,K. Dharma,male,55.0,OR2024AC140
141,Lakhmipur,ST,Koraput district,Pabitra Saunta,Indian National Congress,,59447,41.77,,,RUPA SAUNTA,male,28.0,OR2024AC141
142,Kotpad,ST,Koraput district,Rupa Bhatra,	Bharatiya Janata Party,,75275,42.13,,,,,,OR2024AC142
143,Jayapur,,Koraput district,Tara Prasad Bahinipati,Indian National Congress,,69592,41.89,,,,,,OR2024AC143
144,Koraput,SC,Koraput district,Raghuram Machhha,	Bharatiya Janata Party,,46805,31.82,,,,,,OR2024AC144
145,Pottangi,ST,Koraput district,Rama Chandra Kadam,Indian National Congress,,52202,33.7,,,LATE URDHAB KADAM,male,60.0,OR2024AC145
146,Malkangiri,ST,Malkangiri district,Narasinga Madkami,	Bharatiya Janata Party,,78679,41.76,,,MUKUNDA MADKAMI,male,43.0,OR2024AC146
147,Chitrakonda,ST,Malkangiri district,Mangu Khilla,Indian National Congress,,55550,35.34,,,BHAGABAN KHILLA,male,39.0,OR2024AC147
