AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Puranpur,44,GEN,Dr. Vinod Tiwari,Bharatiya Janta Party,247354,162625,65.7 %,8556,5.3%
Powayan,45,SC,Mithlesh Kumar,Independent,257065,152499,59.3 %,1844,1.2%
Nigohi,46,GEN,Kovid Kumar,Bharatiya Janta Party,209906,137807,65.7 %,896,0.7%
Tilhar,47,GEN,"Virendra Pratap Singh ""munna""",Indian National Congress,219129,126516,57.7 %,1358,1.1%
Jalalabad,48,GEN,Sharadveer Singh,Samajwadi Party,227010,140022,61.7 %,16061,11.5%
Dadraul,49,GEN,Avdhesh Kumar,Bahujan Samaj Party,215659,136344,63.2 %,4391,3.2%
Shahjahanpur,50,GEN,Suresh Kumar Khanna,Bharatiya Janta Party,285412,142901,50.1 %,23037,16.1%
Mohamdi,51,SC,Banshi Dhar Raj,Samajwadi Party,268257,160715,59.9 %,1915,1.2%
Haiderabad,52,GEN,Arvind Giri,Samajwadi Party,258070,160220,62.1 %,14553,9.1%
Paila,53,SC,Rajesh Kumar,Bahujan Samaj Party,231429,131449,56.8 %,5284,4.0%
Lakhimpur,54,GEN,Kaushal Kishor,Samajwadi Party,277987,134364,48.3 %,6581,4.9%
Srinagar,55,GEN,Mayavati,Bahujan Samaj Party,230040,144336,62.7 %,4462,3.1%
Nighasan,56,GEN,R.S. Kushwaha,Bahujan Samaj Party,297006,169508,57.1 %,4386,2.6%
Dhaurehra,57,GEN,Yashpal Chaudhary,Samajwadi Party,250914,162168,64.6 %,8233,5.1%
Behta,58,GEN,Mahendra Kumar Singh,Samajwadi Party,231255,141655,61.3 %,14290,10.1%
Biswan,59,GEN,Ram Pal Yadav,Samajwadi Party,225967,136727,60.5 %,5637,4.1%
Mahmudabad,60,GEN,Narendra Singh,Bharatiya Janta Party,238812,152168,63.7 %,14134,9.3%
Sidhauli,61,SC,Shyam Lal Rawat,Samajwadi Party,230316,136536,59.3 %,436,0.3%
Laharpur,62,GEN,Anil Kumar Verma,Samajwadi Party,224391,134629,60.0 %,341,0.3%
Sitapur,63,GEN,Radheshyam,Samajwadi Party,234176,124699,53.3 %,19930,16.0%
Hargaon,64,SC,Ram Het,Bahujan Samaj Party,207025,117146,56.6 %,51,0.0%
Misrikh,65,GEN,Om Prakash,Samajwadi Party,224754,132023,58.7 %,18611,14.1%
Machhrehta,66,SC,Ram Krishana,Bahujan Samaj Party,194870,110957,56.9 %,23560,21.2%
Beniganj,67,SC,Santu Alias Satya Narain,Bahujan Samaj Party,191632,106854,55.8 %,3900,3.6%
Sandila,68,GEN,Abdul Mannan,Bahujan Samaj Party,209968,127726,60.8 %,19560,15.3%
Ahirori,69,SC,Usha Verma,Samajwadi Party,195209,112330,57.5 %,4080,3.6%
Hardoi,70,GEN,Naresh Chandra Agrawal,Samajwadi Party,224677,131105,58.4 %,26583,20.3%
Bawan,71,SC,Anil Kumar Verma,Bharatiya Janta Party,194278,118938,61.2 %,10214,8.6%
Pihani,72,GEN,Ashok Bajpai,Samajwadi Party,202251,122951,60.8 %,5431,4.4%
Bilgram,74,GEN,Vishram Singh Yadav,Samajwadi Party,239133,147671,61.8 %,15148,10.3%
Mallawan,75,GEN,Krishana Kumar Singh Alias Satish Verma,Bahujan Samaj Party,233592,145656,62.4 %,130,0.1%
Bangarmau,76,GEN,Ramshanker,Bahujan Samaj Party,232240,137168,59.1 %,5698,4.2%
Safipur,77,SC,Sundar Lal,Samajwadi Party,225891,124128,55.0 %,9823,7.9%
Unnao,78,GEN,Kuldeep Singh,Bahujan Samaj Party,287032,129803,45.2 %,3578,2.8%
Hadha,79,GEN,Ganga Bux Singh,Bharatiya Janta Party,219244,124151,56.6 %,1802,1.5%
Bhagwantnagar,80,GEN,Natthu Singh,Bahujan Samaj Party,248705,128828,51.8 %,23477,18.2%
Purwa,81,GEN,Udai Raj,Samajwadi Party,231874,138794,59.9 %,9917,7.1%
Hasanganj,82,SC,Mast Ram,Bharatiya Janta Party,220070,124250,56.5 %,2604,2.1%
Malihabad,83,SC,Kaushal Kishore,Independent,205269,132085,64.3 %,25535,19.3%
Mahona,84,GEN,Rajendra Prasad,Samajwadi Party,466871,194682,41.7 %,15330,7.9%
Lucknow East,85,GEN,Vidya Sagar Gupta,Bharatiya Janta Party,225879,70345,31.1 %,339,0.5%
Lucknow West,86,GEN,Lalji Tandon,Bharatiya Janta Party,423404,125165,29.6 %,14539,11.6%
Lucknow Central,87,GEN,Suresh Kumar Srivastava,Bharatiya Janta Party,301099,96021,31.9 %,11915,12.4%
Lucknow Cantonment,88,GEN,Suresh Chandra Tiwari,Bharatiya Janta Party,285975,90020,31.5 %,15347,17.0%
Sarojininagar,89,GEN,Mohd. Irshad Khan,Bahujan Samaj Party,281703,148003,52.5 %,2592,1.8%
Mohanlalganj,90,SC,R.K.Chowdhary,Independent,212923,124186,58.3 %,24668,19.9%
Bachhrawan,91,SC,Ram Lal Akela,Samajwadi Party,217691,127471,58.6 %,29610,23.2%
Tiloi,92,GEN,Mayankeshwer Sharan Singh,Bharatiya Janta Party,235957,135709,57.5 %,986,0.7%
Rae Bareli,93,GEN,Akhilesh Kumar Singh,Indian National Congress,289484,156190,54.0 %,95837,61.4%
Sataon,94,GEN,Surendra Vikram Singh,Bahujan Samaj Party,227575,129482,56.9 %,7340,5.7%
Sareni,95,GEN,Devendra Pratap Singh,Samajwadi Party,224617,127510,56.8 %,6244,4.9%
Dalmau,96,GEN,Swami Prasad Maurya,Bahujan Samaj Party,237836,152828,64.3 %,171,0.1%
Salon,97,SC,Asha Kishor,Samajwadi Party,229140,129148,56.4 %,4027,3.1%
Kunda,98,GEN,Kunwar Raghuraj Pratap Singh Raja Bhaiya,Independent,239725,107688,44.9 %,81678,75.8%
Bihar,99,SC,Ramnath,Independent,235558,122281,51.9 %,69367,56.7%
Rampur Khas,100,GEN,Pramod Kumar,Indian National Congress,244976,134052,54.7 %,61036,45.5%
