AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sadulpur,19,GEN,Churu,Manoj Kumar,Bahujan Samaj Party,190163,154818,81.4 %,4826,3.1%
Taranagar,20,GEN,Churu,Jai Narayan Pooniya,Bharatiya Janta Party,202485,155542,76.8 %,11136,7.2%
Sardarshahar,21,GEN,Churu,Bhanwarlal,Indian National Congress,225899,176744,78.2 %,7057,4.0%
Churu,22,GEN,Churu,Rajendra Rathore,Bharatiya Janta Party,192476,150996,78.4 %,24002,15.9%
Ratangarh,23,GEN,Churu,Raj Kumar Rinwa,Bharatiya Janta Party,206338,153543,74.4 %,25158,16.4%
Sujangarh,24,SC,Churu,Khemaram,Bharatiya Janta Party,215690,151606,70.3 %,13649,9.0%
Pilani,25,SC,Jhunjhunun,Sunderlal,Bharatiya Janta Party,199027,142809,71.8 %,13996,9.8%
Surajgarh,26,GEN,Jhunjhunun,Santosh Ahlawat,Bharatiya Janta Party,226350,174266,77.0 %,50219,28.8%
Jhunjhunu,27,GEN,Jhunjhunun,Brijendra Singh Ola,Indian National Congress,201900,142807,70.7 %,18412,12.9%
Mandawa,28,GEN,Jhunjhunun,Narendra Kumar,Independent,191274,142071,74.3 %,17118,12.0%
Nawalgarh,29,GEN,Jhunjhunun,Dr. Rajkumar Sharma,Independent,216554,158528,73.2 %,33566,21.2%
Udaipurwati,30,GEN,Jhunjhunun,Shubhkaran Choudhary,Bharatiya Janta Party,193528,146105,75.5 %,11871,8.1%
Khetri,31,GEN,Jhunjhunun,Pooranmal Saini,Bahujan Samaj Party,172781,130048,75.3 %,7850,6.0%
Fatehpur,32,GEN,Sikar,Nand Kishore Maharia,Independent,193585,140832,72.7 %,3926,2.8%
Lachhmangarh,33,GEN,Sikar,Govind Singh,Indian National Congress,214690,160851,74.9 %,10723,6.7%
Dhod,34,SC,Sikar,Gordhan,Bharatiya Janta Party,212639,159434,75.0 %,45071,28.3%
Sikar,35,GEN,Sikar,Ratan Lal Jaldhari,Bharatiya Janta Party,211946,158333,74.7 %,13015,8.2%
Danta Ramgarh,36,GEN,Sikar,Narayan Singh,Indian National Congress,217763,163386,75.0 %,575,0.4%
Khandela,37,GEN,Sikar,Banshidhar,Bharatiya Janta Party,202606,148449,73.3 %,35394,23.8%
Neem Ka Thana,38,GEN,Sikar,Prem Singh,Bharatiya Janta Party,206228,150474,73.0 %,34202,22.7%
Srimadhopur,39,GEN,Sikar,Jhabar Singh Kharra,Bharatiya Janta Party,216567,160276,74.0 %,7902,4.9%
Kotputli,40,GEN,Jaipur,Rajendra Singh Yadav,Indian National Congress,176992,136969,77.4 %,24687,18.0%
Viratnagar,41,GEN,Jaipur,Dr. Phoolchand Bhinda,Bharatiya Janta Party,176034,127035,72.2 %,9398,7.4%
Shahpura,42,GEN,Jaipur,Rao Rajendra Singh,Bharatiya Janta Party,177398,137857,77.7 %,2397,1.7%
Chomu,43,GEN,Jaipur,Ramlal Sharma,Bharatiya Janta Party,183124,152074,83.0 %,44473,29.2%
Phulera,44,GEN,Jaipur,Nirmal Kumawat,Bharatiya Janta Party,206376,151652,73.5 %,24297,16.0%
Dudu,45,SC,Jaipur,Premchand,Bharatiya Janta Party,199070,147789,74.2 %,33720,22.8%
Jhotwara,46,GEN,Jaipur,Rajpal Singh Shekhawat,Bharatiya Janta Party,293443,217040,74.0 %,19602,9.0%
Amber,47,GEN,Jaipur,Naveen Pilania,National People's Party,206953,161162,77.9 %,329,0.2%
Jamwa Ramgarh,48,ST,Jaipur,Jagdish Narayan Meena,Bharatiya Janta Party,175982,130876,74.4 %,31901,24.4%
Hawa Mahal,49,GEN,Jaipur,Surendra Pareek,Bharatiya Janta Party,194196,141978,73.1 %,12715,9.0%
Vidhyadhar Nagar,50,GEN,Jaipur,Narpat Singh Rajvi,Bharatiya Janta Party,275224,191052,69.4 %,37913,19.8%
Civil Lines,51,GEN,Jaipur,Arun Chaturvedi,Bharatiya Janta Party,207943,148176,71.3 %,11129,7.5%
Kishan Pole,52,GEN,Jaipur,Mohan Lal,Bharatiya Janta Party,182965,133698,73.1 %,9685,7.2%
