AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Lucknow Cantonment,104,GEN,Satish Bhatia,Bharatiya Janta Party,192200,95683,49.8 %,22046,23.0%
Sarojini Nagar,105,GEN,Shyam Kishore Yadav,Samajwadi Party,208981,130552,62.5 %,19907,15.2%
Mohanlalganj,106,SC,Sant Bux Rawat,Samajwadi Party,185591,106454,57.4 %,5295,5.0%
Bachhrawan,107,SC,Raja Ram Tyagi,Bharatiya Janta Party,195195,121303,62.1 %,10240,8.4%
Tiloi,108,GEN,Mayankeshwar Sharan Singh,Bharatiya Janta Party,211965,124881,58.9 %,9116,7.3%
Rae Bareli,109,GEN,Akhilesh Kumar Singh,Indian National Congress,239938,143302,59.7 %,38279,26.7%
Sataon,110,GEN,Ram Naresh Yadav,Samajwadi Party,206311,125652,60.9 %,5653,4.5%
Sareni,111,GEN,Girish Narain Pande,Bharatiya Janta Party,201353,124191,61.7 %,1881,1.5%
Dalmau,112,GEN,Gajadar Singh,Samajwadi Party,217276,129728,59.7 %,31852,24.6%
Salon,113,SC,Dal Bahadur Kori,Bharatiya Janta Party,205374,101660,49.5 %,7542,7.4%
Kunda,114,GEN,Kunwar Raghuraj Pratap Singh Urf Raja Bhaiya,Independent,199728,130993,65.6 %,67287,51.4%
Bihar,115,SC,Suresh Pasi,Samajwadi Party,205266,107219,52.2 %,17001,15.9%
Rampurkhas,116,GEN,Pramod Tiwari,Indian National Congress,224425,106354,47.4 %,30053,28.3%
Garwara,117,GEN,Ramesh Bahadur Singh,Bharatiya Janta Party,217596,105877,48.7 %,1194,1.1%
Pratapgarh,118,GEN,Lal Bahadur Singh,Samajwadi Party,228732,118351,51.7 %,12645,10.7%
Birapur,119,GEN,Laxmi Narayan Pandey (Guruji),Bharatiya Janta Party,244543,122642,50.2 %,2705,2.2%
Patti,120,GEN,Ram Lakhan,Samajwadi Party,245237,135104,55.1 %,23165,17.1%
Amethi,121,GEN,Jamuna Mishra,Bharatiya Janta Party,197373,95661,48.5 %,3767,3.9%
Gauriganj,122,GEN,Tej Bhan Singh,Bharatiya Janta Party,204594,93184,45.5 %,11278,12.1%
Jagdishpur,123,SC,Nand Lal,Samajwadi Party,190117,84463,44.4 %,6350,7.5%
Isauli,124,GEN,Indra Bhadra Singh,Independent,205208,106909,52.1 %,11224,10.5%
Sultanpur,125,GEN,Barkat Ali Khan,Samajwadi Party,234259,127737,54.5 %,13707,10.7%
