#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
16,Jasdan,16,GEN,Bavaliya Kunvarjibhai Mohanbhai,Indian National Congress,185029,118824,64.2 %,25679,21.6%
17,Rajkot-I,17,GEN,Govindbhai Ukabhai Patel,Bharatiya Janta Party,356604,187951,52.7 %,35643,19.0%
18,Rajkot-Ii,18,GEN,Vajubhai Vala,Bharatiya Janta Party,170718,89740,52.6 %,9856,11.0%
19,Rajkot Rural,19,SC,Bhanuben Manoharbhai Babariya,Bharatiya Janta Party,403430,194596,48.2 %,41398,21.3%
20,Gondal,20,GEN,Vaghasiya Chandubhai Bachubhai,Nationalist Congress Party,168789,103463,61.3 %,488,0.5%
21,Jetpur,21,GEN,Korat Jashuben Savjibhai,Bharatiya Janta Party,187967,112733,60.0 %,12193,10.8%
22,Dhoraji,22,GEN,Radadiya Vitthalbhai Hansrajbhai,Indian National Congress,146707,90471,61.7 %,12386,13.7%
23,Upleta,23,GEN,Makadiya Pravinbhai Mohanbhai,Bharatiya Janta Party,135650,76860,56.7 %,4685,6.1%
24,Jodiya,24,GEN,Patel Raghavjibhai Hansrajbhai,Indian National Congress,136751,96691,70.7 %,5193,5.4%
25,Jamnagar,25,GEN,Prof. Vasuben Trivedi,Bharatiya Janta Party,131731,68737,52.2 %,1080,1.6%
26,Jamnagar Rural,26,SC,Laljibhai Premjibhai Solanki,Bharatiya Janta Party,293775,138969,47.3 %,9881,7.1%
27,Kalawad,27,GEN,Faldu Ranchhodbhai Chanabhai (R.C.FALDU),Bharatiya Janta Party,146041,84705,58.0 %,6272,7.4%
28,Jamjodhpur,28,GEN,Jadeja Brijrajsinh Hematsinh,Indian National Congress,133325,93248,69.9 %,17,0.0%
29,Bhanvad,29,GEN,Ayar Bera Mulubhai Hardasbhai,Bharatiya Janta Party,130204,76965,59.1 %,13891,18.0%
30,Khambhalia,30,GEN,Kanzariya Meghji Daya,Bharatiya Janta Party,159667,86655,54.3 %,798,0.9%
31,Dwarka,31,GEN,Manek Pabubha Virambha,Bharatiya Janta Party,167442,77460,46.3 %,10653,13.8%
32,Porbandar,32,GEN,Modhwadiya Arjunbhai Devabhai,Indian National Congress,168462,103779,61.6 %,9616,9.3%
33,Kutiyana,33,GEN,Odedara Karsanbhai Dulabhai,Bharatiya Janta Party,157799,81866,51.9 %,9150,11.2%
34,Mangrol,34,GEN,Kargatiya Bhagvanvanjibhai Lakhabhai,Bharatiya Janta Party,170823,102122,59.8 %,2631,2.6%
35,Manavadar,35,GEN,Chavada Jawaharbhai Pethljibhai,Indian National Congress,125902,84619,67.2 %,1731,2.0%
36,Keshod,36,SC,Makwana Vandnaben Manshukhbhai,Bharatiya Janta Party,161362,89516,55.5 %,19471,21.8%
37,Talala,37,GEN,Barad Bhagavanbhai Dhanabhai,Indian National Congress,175753,128255,73.0 %,5632,4.4%
38,Somnath,38,GEN,Jotva Rajsibhai Virabhai,Bharatiya Janta Party,211616,144909,68.5 %,5229,3.6%
39,Una,39,GEN,Rathod Kalubhai Chanabhai,Bharatiya Janta Party,219888,146312,66.5 %,10706,7.3%
40,Visavadar,40,GEN,Bhalala Kanubhai Mepabhai,Bharatiya Janta Party,157646,84583,53.7 %,4229,5.0%
41,Maliya,41,GEN,Rajani Lavajibhai Thakarshibhai,Bharatiya Janta Party,174054,102068,58.6 %,19575,19.2%
42,Junagadh,42,GEN,Mashru Mahendrabhai Liladharbhai,Bharatiya Janta Party,230862,119009,51.5 %,30987,26.0%
43,Babra,43,GEN,Undhad Bavakubhai Nathabhai,Indian National Congress,154420,99833,64.7 %,28262,28.3%
44,Lathi,44,GEN,Dhorajiya Hanubhai (BHABHA),Bharatiya Janta Party,128436,75206,58.6 %,25309,33.7%
45,Amreli,45,GEN,Dileep Sanghani,Bharatiya Janta Party,160798,99309,61.8 %,4189,4.2%
46,Dhari,46,GEN,Bhuva Mansukhbhai Panchabhai,Bharatiya Janta Party,149625,84407,56.4 %,17862,21.2%
