ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Naryoli,40,SC,Sagar,Er. Pradeep Lariya,Bharatiya Janta Party,474232,168327,35.50%,14412,8.60%,KUNDAN LAL LARIYA,male,57.0,MP2023AC40
Sagar,41,GEN,Sagar,Shalendra Kumar Jain,Bharatiya Janta Party,419108,140712,33.60%,15021,10.70%,MOTILAL,male,60.0,MP2023AC41
Banda,42,GEN,Sagar,Veerendra Singh Lodhi,Bharatiya Janta Party,496378,192721,38.80%,34751,18.00%,Late Shri Shiv Raj Singh Lodhi,male,50.0,MP2023AC42
Tikamgarh,43,GEN,Tikamgarh,Yadvendra Singh (JAGGU BHAIYA),Indian National Congress,451580,177456,39.30%,9118,5.10%,LATE SARDAR SINGH,male,64.0,MP2023AC43
Jatara,44,SC,Tikamgarh,Khatik Harishankar,Bharatiya Janta Party,441354,165092,37.40%,11216,6.80%,Bhagwandas Khatik,male,55.0,MP2023AC44
Prithvipur,45,GEN,Tikamgarh,Nitendra Brajendra Singh Rathore,Indian National Congress,426302,176512,41.40%,1831,1.00%,BRAJENDRA SINGH,male,42.0,MP2023AC45
Niwari,46,GEN,Tikamgarh,Anil Jain,Bharatiya Janta Party,396964,160940,40.50%,17157,10.70%,SHAITANMAL JI JAIN,male,59.0,MP2023AC46
Khargapur,47,GEN,Tikamgarh,Chanda-Surendra Singh Gour,Indian National Congress,499778,186696,37.40%,8117,4.30%,SURENDRA SINGH GOUR,female,62.0,MP2023AC47
Maharajpur,48,GEN,Chhatarpur,Kamakhya Pratap Singh (TEEKA RAJA),Bharatiya Janta Party,471506,169974,36.00%,26617,15.70%,MANVENDRA SINGH,male,36.0,MP2023AC48
Chandla,49,SC,Chhatarpur,Ahirwar Dileep,Bharatiya Janta Party,473634,159359,33.60%,15491,9.70%,LAXMI PRASAD AHIRWAR,male,46.0,MP2023AC49
Rajnagar,50,GEN,Chhatarpur,Arvind Pateriya,Bharatiya Janta Party,500830,182000,36.30%,5867,3.20%,RAGHUVAR DAYAL PATERIYA,male,42.0,MP2023AC50
Chhatarpur,51,GEN,Chhatarpur,Lalita Yadav,Bharatiya Janta Party,463802,169847,36.60%,6967,4.10%,Late Of SHRI HARI PRAKASH YADAV,female,61.0,MP2023AC51
Bijawar,52,GEN,Chhatarpur,Bablu Rajesh Shukla,Bharatiya Janta Party,461650,166310,36.00%,32462,19.50%,BINDRAWAN SHUKLA,male,53.0,MP2023AC52
Malhara,53,GEN,Chhatarpur,Bahin Ramsiya Bharti,Indian National Congress,465558,169997,36.50%,21532,12.70%,SWAMI PRASAD RAJPOOT,female,36.0,MP2023AC53
Pathariya,54,GEN,Damoh,Lakhan Patel,Bharatiya Janta Party,474486,186640,39.30%,18159,9.70%,BABULAL,male,66.0,MP2023AC54
Damoh,55,GEN,Damoh,Jayant Malaiya,Bharatiya Janta Party,491590,187273,38.10%,51351,27.40%,VIJAY KUMAR MALAIYA,male,76.0,MP2023AC55
Jabera,56,GEN,Damoh,Dharmendra Bhav Singh Lodhi,Bharatiya Janta Party,478628,192131,40.10%,15883,8.30%,BHAV SINGH LODHI,male,45.0,MP2023AC56
Hatta,57,SC,Damoh,Smt Umadevi Lalchand Khatik,Bharatiya Janta Party,490626,180008,36.70%,57021,31.70%,LALCHAND KHATIK,female,61.0,MP2023AC57
Pawai,58,GEN,Panna,Prahlad Lodhi,Bharatiya Janta Party,564148,211344,37.50%,22043,10.40%,KISHUN LAL,male,54.0,MP2023AC58
Gunnaor,59,SC,Panna,Rajesh Kumar Verma,Bharatiya Janta Party,464448,166195,35.80%,1160,0.70%,,,,MP2023AC59
Panna,60,GEN,Panna,Brijendra Pratap Singh,Bharatiya Janta Party,501744,186629,37.20%,17910,9.60%,Lt. Uday Pratap Singh,male,56.0,MP2023AC60
Chitrakoot,61,GEN,Satna,Surendra Singh Gaharwar,Bharatiya Janta Party,437836,154477,35.30%,6670,4.30%,JAGANNATH SINGH,male,69.0,MP2023AC61
Raigaon,62,SC,Satna,Pratima Bagri,Bharatiya Janta Party,440018,156085,35.50%,36060,23.10%,SANDEEP KUMAR BAGRI,female,35.0,MP2023AC62
Satna,63,GEN,Satna,Dabbu Siddharth Sukhlal Kushwaha,Indian National Congress,491846,177439,36.10%,4041,2.30%,Sukhlal Kushwaha,male,39.0,MP2023AC63
Nagod,64,GEN,Satna,Nagendra Singh,Bharatiya Janta Party,479544,181640,37.90%,17369,9.60%,MAHENDRA SINGH,male,80.0,MP2023AC64
Maihar,65,GEN,Satna,Shrikant Chaturvedi,Bharatiya Janta Party,512782,196289,38.30%,21394,10.90%,Madan Bihari,male,59.0,MP2023AC65
Amarpatan,66,GEN,Satna,Dr. Rajendra Kumar Singh,Indian National Congress,489690,183762,37.50%,6490,3.50%,SHIVMOHAN,male,73.0,MP2023AC66
Rampur-Baghelan,67,GEN,Satna,Vikram Singh (VICKY),Bharatiya Janta Party,527196,194086,36.80%,22581,11.60%,HARSH SINGH,male,42.0,MP2023AC67
Sirmour,68,GEN,Rewa,Divyaraj Singh,Bharatiya Janta Party,442018,141898,32.10%,13790,9.70%,Pushpraj Singh,male,37.0,MP2023AC68
Semariya,69,GEN,Rewa,Abhay Mishra,Indian National Congress,452214,159349,35.20%,637,0.40%,BRIJKISHOR MISHRA,male,56.0,MP2023AC69
Teonthar,70,GEN,Rewa,Siddharth Tiwari 'raj',Bharatiya Janta Party,434906,147877,34.00%,4746,3.20%,LATE MR. SUNDAR LAL TIWARI,male,40.0,MP2023AC70
Mauganj,71,GEN,Rewa,Pradeep Patel,Bharatiya Janta Party,455844,153868,33.80%,7174,4.70%,CHHOTELAL,male,53.0,MP2023AC71
Deotalab,72,GEN,Rewa,Girish Gautam,Bharatiya Janta Party,491156,154283,31.40%,24386,15.80%,TEERATH PRASAD,male,70.0,MP2023AC72
Mangawan,73,SC,Rewa,Engineer Narendra Prajapati,Bharatiya Janta Party,499092,154097,30.90%,31912,20.70%,Bambholi,male,46.0,MP2023AC73
Rewa,74,GEN,Rewa,Rajendra Shukla,Bharatiya Janta Party,440682,150934,34.30%,21339,14.10%,BHAIYALAL SHUKLA,male,59.0,MP2023AC74
Gurh,75,GEN,Rewa,Nagendra Singh,Bharatiya Janta Party,466566,164814,35.30%,2493,1.50%,MAHENDRA SINGH,male,80.0,MP2023AC75
Churhat,76,GEN,Sidhi,Ajay Arjun Singh,Indian National Congress,527864,188335,35.70%,27777,14.70%,ARJUN SINGH,male,68.0,MP2023AC76
Sidhi,77,GEN,Sidhi,Riti Pathak,Bharatiya Janta Party,512754,176264,34.40%,35418,20.10%,Shri Rajnish Pathak,female,46.0,MP2023AC77
Sihawal,78,GEN,Sidhi,Vishwamitra Pathak,Bharatiya Janta Party,506434,174287,34.40%,16478,9.50%,RAMPYARE PATHAK,male,65.0,MP2023AC78
Chitrangi,79,ST,Sidhi,Radha Ravindra Singh,Bharatiya Janta Party,501964,176850,35.20%,59879,33.90%,DR.RAVINDRA KUMAR SINGH,female,48.0,MP2023AC79
Singrauli,80,GEN,Sidhi,Ram Niwas Shah,Bharatiya Janta Party,432774,157656,36.40%,37977,24.10%,UMAPRASAD SHAH,male,53.0,MP2023AC80
Devsar,81,SC,Sidhi,Rajendra Meshram,Bharatiya Janta Party,482040,189197,39.20%,22454,11.90%,NATTHULAL,male,62.0,MP2023AC81
Dhauhani,82,ST,Sidhi,Kunwar Singh Tekam,Bharatiya Janta Party,502382,182447,36.30%,3321,1.80%,Dheershah Singh,male,59.0,MP2023AC82
Beohari,83,ST,Shahdol,Sharad Juglal Kol,Bharatiya Janta Party,556954,205653,36.90%,26482,12.90%,,,,MP2023AC83
Jaisinghnagar,84,ST,Shahdol,Manisha Singh,Bharatiya Janta Party,512796,205613,40.10%,37951,18.50%,RAJENDRA SINGH,female,41.0,MP2023AC84
Jaitpur,85,ST,Shahdol,Jaisingh Maravi,Bharatiya Janta Party,492972,197091,40.00%,31705,16.10%,Vishvnath Singh,male,71.0,MP2023AC85
Kotma,86,GEN,Anuppur,Dilip Jaiswal,Bharatiya Janta Party,300930,117144,38.90%,22788,19.50%,SHUDDHU JAISWAL,male,62.0,MP2023AC86
Anuppur,87,ST,Anuppur,Bisahu Lal Singh,Bharatiya Janta Party,357026,137706,38.60%,20419,14.80%,RAM MILAN SINGH,male,73.0,MP2023AC87
Pushprajgarh,88,ST,Anuppur,Phundelal Singh Marko,Indian National Congress,401054,157446,39.30%,4486,2.80%,BALDEV SINGH,male,58.0,MP2023AC88
Bandhavgarh,89,ST,Umaria,Shivnarayan Gyan Singh (LALLU BHAIYA),Bharatiya Janta Party,458252,178457,38.90%,23711,13.30%,Gyan Singh,male,43.0,MP2023AC89
Manpur,90,ST,Umaria,Meena Singh,Bharatiya Janta Party,500754,191153,38.20%,25265,13.20%,Madhav Singh,female,52.0,MP2023AC90
Barwara,91,ST,Katni,Dhirendra Bahadur Singh Dhiru,Bharatiya Janta Party,507182,194994,38.40%,50993,26.20%,LATE RANDHEER SINGH,male,43.0,MP2023AC91
Vijayraghavgarh,92,GEN,Katni,Sanjay Satyendra Pathak,Bharatiya Janta Party,474726,181549,38.20%,24346,13.40%,SATYENDRA PATHAK,male,52.0,MP2023AC92
Murwara,93,GEN,Katni,Sandeep Shriprasad Jaiswal,Bharatiya Janta Party,499760,175333,35.10%,24903,14.20%,SHRIPRASAD,male,59.0,MP2023AC93
Bahoriband,94,GEN,Katni,Pranay Prabhat Pandey (GUDDU BHAIYA),Bharatiya Janta Party,489854,199640,40.80%,23622,11.80%,Prabhat Pandey,male,45.0,MP2023AC94
Patan,95,GEN,Jabalpur,Ajay Vishnoi,Bharatiya Janta Party,514984,208322,40.50%,30255,14.50%,LATE. SHRI GOURISHANKAR VISHNOI,male,71.0,MP2023AC95
Bargi,96,GEN,Jabalpur,Neeraj Singh Lodhi,Bharatiya Janta Party,484720,195967,40.40%,39957,20.40%,BRIJBIHARI SINGH THAKUR,male,45.0,MP2023AC96
Jabalpur Purba,97,SC,Jabalpur,Lakhan Ghanghoria,Indian National Congress,495532,171422,34.60%,27741,16.20%,LATE SHIV LAL,male,64.0,MP2023AC97
Jabalpur Uttar,98,GEN,Jabalpur,Abhilash Pandey,Bharatiya Janta Party,432718,156219,36.10%,22655,14.50%,KAMTA PRASAD PANDEY,male,40.0,MP2023AC98
Jabalpur Cantt.,99,GEN,Jabalpur,Ashok Ishwardas Rohani,Bharatiya Janta Party,373238,127798,34.20%,30045,23.50%,LATE SHRI ISHWARDAS ROHANI,male,58.0,MP2023AC99
