ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Gopalpur,344,GEN,Azamgarh,Nafees Ahmad,Samajwadi Party,377546,205047,54.30%,24307,11.90%,ALTAF AHMAD KHAN,male,41.0,UP2022AC344
Sagri,345,GEN,Azamgarh,Hriday Narayan Singh Patel,Samajwadi Party,356587,193192,54.20%,22515,11.70%,RAMDHANI SINGH PATEL,male,52.0,UP2022AC345
Mubarakpur,346,GEN,Azamgarh,Akhilesh,Samajwadi Party,381187,222789,58.40%,29103,13.10%,,,,UP2022AC346
Azamgarh,347,GEN,Azamgarh,Durga Prasad Yadav,Samajwadi Party,425819,234860,55.20%,16036,6.80%,RAMDHYAN YADAV,male,69.0,UP2022AC347
Nizamabad,348,GEN,Azamgarh,Alam Badi,Samajwadi Party,341995,183645,53.70%,34187,18.60%,BADIUZZAMA,male,86.0,UP2022AC348
Phoolpur-Pawai,349,GEN,Azamgarh,Ramakant,Samajwadi Party,351352,192186,54.70%,25306,13.20%,SHRIPATI,male,62.0,UP2022AC349
Didarganj,350,GEN,Azamgarh,Kamalkant,Samajwadi Party,367380,200093,54.50%,13561,6.80%,,,,UP2022AC350
Lalganj,351,SC,Azamgarh,Bechai,Samajwadi Party,428739,216914,50.60%,14733,6.80%,TEJU,male,51.0,UP2022AC351
Mehnagar,352,SC,Azamgarh,Puja,Samajwadi Party,418590,219367,52.40%,14149,6.40%,RAJIV KUMAR,female,31.0,UP2022AC352
Madhuban,353,GEN,Mau,Ram Bilash Chauhan,Bharatiya Janta Party,406043,223004,54.90%,4448,2.00%,PHAGOO CHAUHAN,male,48.0,UP2022AC353
Ghosi,354,GEN,Mau,Dara Singh Chauhan,Samajwadi Party,441180,255606,57.90%,22216,8.70%,RAM KISHUN,male,63.0,UP2022AC354
Muhammadabad-Gohna,355,SC,Mau,Rajendra Kumar,Samajwadi Party,381374,226751,59.50%,26649,11.80%,,,,UP2022AC355
Mau,356,GEN,Mau,Abbas Ansari,Suheldev Bharatiya Samaj Party,481775,277686,57.60%,38116,13.70%,MOKHTAR ANSARI,male,29.0,UP2022AC356
Belthara Road,357,SC,Ballia,Hansu Ram,Suheldev Bharatiya Samaj Party,359864,198398,55.10%,5514,2.80%,Lakhraj,male,67.0,UP2022AC357
Rasara,358,GEN,Ballia,Umashankar Singh,Bahujan Samaj Party,358292,199233,55.60%,6583,3.30%,SHRI GHURHU SINGH,male,51.0,UP2022AC358
Sikanderpur,359,GEN,Ballia,Ziyauddin Rizvi,Samajwadi Party,307655,175382,57.00%,11855,6.80%,AINUDDIN,male,56.0,UP2022AC359
Phephana,360,GEN,Ballia,Sangram Singh,Samajwadi Party,331750,188545,56.80%,19354,10.30%,HARDEV SINGH YADAV,male,71.0,UP2022AC360
Ballia Nagar,361,GEN,Ballia,Daya Shankar Singh,Bharatiya Janta Party,376763,201758,53.60%,26239,13.00%,Vindyachal Singh,male,51.0,UP2022AC361
Bansdih,362,GEN,Ballia,Ketakee Singh,Bharatiya Janta Party,407021,214694,52.70%,21352,9.90%,SHANT SWAROOP SINGH,female,37.0,UP2022AC362
Bairia,363,GEN,Ballia,Jai Prakash Anchal,Samajwadi Party,367264,174696,47.60%,12951,7.40%,SHARDANAND ANCHAL,male,54.0,UP2022AC363
Badlapur,364,GEN,Jaunpur,Ramesh Chandra Mishra,Bharatiya Janta Party,353715,206527,58.40%,1326,0.60%,DURGA PRASAD,male,44.0,UP2022AC364
Shahganj,365,GEN,Jaunpur,Ramesh,Nirbal Indian Shoshit Hamara Aam Dal,430214,239277,55.60%,719,0.30%,,,,UP2022AC365
Jaunpur,366,GEN,Jaunpur,Girish Chandra Yadav,Bharatiya Janta Party,426298,247905,58.20%,8052,3.20%,SAVADHU,male,48.0,UP2022AC366
Malhani,367,GEN,Jaunpur,Lucky Yadav,Samajwadi Party,382881,227362,59.40%,17527,7.70%,PARAS NATH YADAV,male,37.0,UP2022AC367
Mungra Badshahpur,368,GEN,Jaunpur,Pankaj,Samajwadi Party,386795,218433,56.50%,5230,2.40%,Harendra Singh Malik,male,43.0,UP2022AC368
