AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Rajanagar,,Kendrapara district,Dhruba Charan Sahoo,Biju Janata Dal,,"81,237",46.46,,,DHANESWAR SAHOO,male,56.0
Mahakalapada,,Kendrapara district,Durga Prasan Nayak,	Bharatiya Janata Party,,"109,653",57.23,,,Dadhiram Nayak,male,46.0
Paradeep,,Jagatsinghpur district,Sampad Chandra Swain,	Bharatiya Janata Party,,"84,518",51.55,,,NIRMAL KUMAR SWAIN,male,38.0
Tirtol,SC,Jagatsinghpur district,Ramakanta Bhoi,Biju Janata Dal,,"83,740",45.48,,,Karttik Chandra Bhoi,male,46.0
Balikuda-Erasama,,Jagatsinghpur district,Sarada Prasanna Jena,Biju Janata Dal,,"93,517",46.04,,,SHANKAR JENA,male,53.0
Jagatsinghpur,,Jagatsinghpur district,Amarendra Das,	Bharatiya Janata Party,,"92,555",54.34,,,Rabindranath Das,male,48.0
Kakatapur,SC,Puri district,Tusharkanti Behera,Biju Janata Dal,,"84,010",47.05,,,SURESH CHANDRA BEHERA,male,40.0
Nimapara,,Puri district,Pravati Parida,	Bharatiya Janata Party,,"95,430",48.45,,,W/o- SHYAM SUNDAR NAYAK,female,57.0
Puri,,Puri district,Sunil Mohanty,Biju Janata Dal,,"74,709",45.84,,,,,
Bramhagiri,,Puri district,Upasna Mohapatra,	Bharatiya Janata Party,,"95,783",51.53,,,LATE LALATENDU BIDYADHAR MOHAPATRA,female,26.0
Satyabadi,,Puri district,Om Prakash Mishra,	Bharatiya Janata Party,,"87,294",53.33,,,Late Rajanikanta Mishra,male,44.0
Pipili,,Puri district,Asrit Pattanayak,	Bharatiya Janata Party,,"99,310",51.55,,,,,
Jayadev,SC,Khurda District,Naba Kishor Mallick,Biju Janata Dal,,"76,790",52.02,,,Bansidhar Mallick,male,43.0
Bhubaneswar Central,,Khurda District,Ananta Narayana Jena,Biju Janata Dal,,"53,759",47.68,,,,,
Bhubaneswar North,,Khurda District,Susanta Kumara Rout,Biju Janata Dal,,"78,179",50.63,,,,,
Ekamra Bhubaneswar,,Khurda District,Babu Singh,	Bharatiya Janata Party,,"74,884",49.03,,,GANGADHAR PRADHAN,male,52.0
Jatani,,Khurda District,Bibhuti Bhusan Balabantaray,Biju Janata Dal,,"68,162",39.06,,,DIBYA SINGH BALABANTARAY,male,62.0
Begunia,,Khurda District,Pradip Kumar Sahu,Biju Janata Dal,,"90,964",57.45,,,LAXMIDHAR SAHU,male,55.0
Khorda,,Khurda District,Prasanta Kumar Jagaddeba,	Bharatiya Janata Party,,"80,564",44.3,,,,,
Chilika,,Khurda District,Pruthibiraj Harichandan,	Bharatiya Janata Party,,"83,264",49.51,,,,,
Ranpur,,Nayagarh district,Surama Padhy,	Bharatiya Janata Party,,"81,439",52.27,,,BIPIN BIHARI PADHY,female,63.0
Khandapada,,Nayagarh district,Dusmanta Kumar Swain,	Bharatiya Janata Party,,"75,557",50.72,,,Basanta Kumar Swain,male,49.0
Daspalla,SC,Nayagarh district,Ramesh Chandra Behera,Biju Janata Dal,,"62,039",44.4,,,LATE JAGANNATH BEHERA,male,48.0
Nayagarh,,Nayagarh district,Arun Kumar Sahoo,Biju Janata Dal,,"81,959",48.74,,,,,
Bhanjanagar,,Ganjam district,Pradyumna Kumar Nayak,	Bharatiya Janata Party,,"83,822",51.06,,,SHYAMA SUNDAR NAYAK,male,57.0
Polasara,,Ganjam district,Gokula Nanda Mallik,	Bharatiya Janata Party,,"85,737",53.33,,,,,
Kabisurjyanagar,,Ganjam district,Pratap Chandra Nayak,	Bharatiya Janata Party,,"80,995",55.79,,,KALI CHARAN NAYAK,male,46.0
Khalikote,,Ganjam district,Purna Chandra Sethy,	Bharatiya Janata Party,,"80,230",53.82,,,Chaitanya Sethy,male,70.0
Chhatrapur,,Ganjam district,Krushna Chandra Nayak,	Bharatiya Janata Party,,"74,983",48.0,,,RAMESH NAYAK,male,39.0
Asika,,Ganjam district,Saroj Kumar Padhi,	Bharatiya Janata Party,,"59,083",49.21,,,LATE ANANTA RAMA PADHI,male,68.0
Surada,,Ganjam district,Nilamani Bisoyi,	Bharatiya Janata Party,,"83,625",54.71,,,LATE MURALI BISOYI,male,53.0
Sanakhemundi,,Ganjam district,Ramesh Chandra Jena,Indian National Congress,,"65,867",44.65,,,ARAKHITA JENA,male,46.0
Hinjili,,Ganjam district,Nabeen Patnaik,Biju Janata Dal,,"66,459",46.85,,,,,
Gopalpur,,Ganjam district,Bibhuti Bhusan Jena,	Bharatiya Janata Party,,"72,071",50.11,,,,,
Berhampur,,Ganjam district,K. Anil Kumar,	Bharatiya Janata Party,,"54,997",43.93,,,K. BABJEE,male,53.0
Digapahandi,,Ganjam district,Sidhant Mohapatra,	Bharatiya Janata Party,,"72,908",49.21,,,MANMOHAN MOHAPATRA,male,57.0
Chikiti,,Ganjam district,Manoranjan Dyan Samantara,	Bharatiya Janata Party,,"69,839",49.67,,,CHINTAMANI DYAN SAMANTARA,male,52.0
Mohana,ST,Gajapati district,Dasarathi Gomango,Indian National Congress,,"62,117",34.64,,,,,
Paralakhemundi,,Gajapati district,Rupesh Kumar Panigrahi,Biju Janata Dal,,"56,027",37.58,,,Tirupati Panigrahi,male,40.0
Gunupur,ST,Rayagada district,Satyajeet Gomango,Indian National Congress,,"77,637",47.8,,,BHUBANESWAR GOMANGO,male,33.0
Bissam-Cuttack,ST,Rayagada district,Nilamadhab Hikaka,Indian National Congress,,"68,446",37.25,,,MALATI HIKAKA,male,43.0
Rayagada,ST,Rayagada district,Kadraka Appala Swamy,Indian National Congress,,"87,482",45.81,,,K. Dharma,male,55.0
Lakhmipur,ST,Koraput district,Pabitra Saunta,Indian National Congress,,"59,447",41.77,,,RUPA SAUNTA,male,28.0
Kotpad,ST,Koraput district,Rupa Bhatra,	Bharatiya Janata Party,,"75,275",42.13,,,,,
Jayapur,,Koraput district,Tara Prasad Bahinipati,Indian National Congress,,"69,592",41.89,,,,,
Koraput,SC,Koraput district,Raghuram Machhha,	Bharatiya Janata Party,,"46,805",31.82,,,,,
Pottangi,ST,Koraput district,Rama Chandra Kadam,Indian National Congress,,"52,202",33.7,,,LATE URDHAB KADAM,male,60.0
Malkangiri,ST,Malkangiri district,Narasinga Madkami,	Bharatiya Janata Party,,"78,679",41.76,,,MUKUNDA MADKAMI,male,43.0
Chitrakonda,ST,Malkangiri district,Mangu Khilla,Indian National Congress,,"55,550",35.34,,,BHAGABAN KHILLA,male,39.0
