AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Shivpuri,25,GEN,Shivpuri,Yashodhara Raje Scindia,Bharatiya Janta Party,240528,162183,67.4 %,28748,17.7%
Pichhore,26,GEN,Shivpuri,K. P. Singh,Indian National Congress,232637,191894,82.5 %,2675,1.4%
Kolaras,27,GEN,Shivpuri,Birendra Raghuvanshi,Bharatiya Janta Party,237069,170371,71.9 %,720,0.4%
Bamori,28,GEN,Guna,Mahendra Singh Sisodiya (SANJU BHAIYA),Indian National Congress,190923,154363,80.9 %,27920,18.1%
Guna,29,SC,Guna,Gopilal Jatav,Bharatiya Janta Party,207863,145741,70.1 %,33667,23.1%
Chachoda,30,GEN,Guna,Lakshman Singh,Indian National Congress,203976,161933,79.4 %,9797,6.1%
Raghogarh,31,GEN,Guna,Jaivardhan Singh,Indian National Congress,202992,156745,77.2 %,46697,29.8%
Ashok Nagar,32,SC,Ashoknagar,"Jajpal Singh ""jajji""",Indian National Congress,185218,136463,73.7 %,9730,7.1%
Chanderi,33,GEN,Ashoknagar,Gopal Singh Chauhan (DAGGI RAJA),Indian National Congress,173898,130495,75.0 %,4175,3.2%
Mungaoli,34,GEN,Ashoknagar,Brajendra Singh Yadav,Indian National Congress,186461,137666,73.8 %,2136,1.6%
Bina,35,SC,Sagar,Mahesh Rai,Bharatiya Janta Party,176472,124829,70.7 %,632,0.5%
Khurai,36,GEN,Sagar,Bhupendra Bhaiya,Bharatiya Janta Party,192861,153490,79.6 %,15295,10.0%
Surkhi,37,GEN,Sagar,Govind Singh Rajput,Indian National Congress,196632,143909,73.2 %,21418,14.9%
Deori,38,GEN,Sagar,Harsh Yadav,Indian National Congress,197551,145383,73.6 %,4304,3.0%
Rehli,39,GEN,Sagar,Gopal Bhargava,Bharatiya Janta Party,225039,166057,73.8 %,26888,16.2%
Naryawali,40,SC,Sagar,Eng. Pradeep Lariya,Bharatiya Janta Party,227102,145576,64.1 %,8900,6.1%
Sagar,41,GEN,Sagar,Shailendra Jain,Bharatiya Janta Party,211090,131136,62.1 %,17366,13.2%
Banda,42,GEN,Sagar,Tarbar Singh (BANTU BHAIYA),Indian National Congress,221437,160305,72.4 %,24164,15.1%
Tikamgarh,43,GEN,Tikamgarh,Rakesh Giri,Bharatiya Janta Party,201171,148669,73.9 %,4175,2.8%
Jatara,44,SC,Tikamgarh,Khatik Harishankar,Bharatiya Janta Party,192358,136599,71.0 %,36715,26.9%
Prithvipur,45,GEN,Tikamgarh,Brajendra Singh Rathore,Indian National Congress,184719,147951,80.1 %,7620,5.2%
Niwari,46,GEN,Tikamgarh,Anil Jain,Bharatiya Janta Party,180651,135018,74.7 %,8837,6.5%
Khargapur,47,GEN,Tikamgarh,Rahul Singh Lodhi,Bharatiya Janta Party,217584,158609,72.9 %,11665,7.4%
Maharajpur,48,GEN,Chhatarpur,Neeraj Vinod Dixit,Indian National Congress,206548,142422,69.0 %,14005,9.8%
Chandla,49,SC,Chhatarpur,Rajesh Kumar Prajapati,Bharatiya Janta Party,206153,129612,62.9 %,1177,0.9%
Rajnagar,50,GEN,Chhatarpur,Vikram Singh (NATI RAJA),Indian National Congress,211786,141377,66.8 %,732,0.5%
Chhatarpur,51,GEN,Chhatarpur,Alok Chaturvedi (PAJJAN BHAIYA),Indian National Congress,199646,145924,73.1 %,3495,2.4%
Bijawar,52,GEN,Chhatarpur,Rajesh Kumar (BABLU BHAIYA),Samajwadi Party,199429,143880,72.1 %,36714,25.5%
Malhara,53,GEN,Chhatarpur,Kunwar Pradyumna Singh Lodhi (MUNNA BHAIYA),Indian National Congress,198939,147819,74.3 %,15779,10.7%
Pathariya,54,GEN,Damoh,Rambai Govind Singh,Bahujan Samaj Party,210948,163585,77.5 %,2205,1.3%
Damoh,55,GEN,Damoh,Rahul Singh,Indian National Congress,231546,174073,75.2 %,798,0.5%
Jabera,56,GEN,Damoh,Dharmendra Bhav Singh Lodhi,Bharatiya Janta Party,213949,166074,77.6 %,3485,2.1%
Hatta,57,SC,Damoh,Purusottam/ramkali Tantuway Hatta,Bharatiya Janta Party,217723,154932,71.2 %,19905,12.8%
Pawai,58,GEN,Panna,Prahlad Lodhi,Bharatiya Janta Party,252935,196167,77.6 %,23680,12.1%
Gunnour,59,SC,Panna,Shivdayal Bagri,Indian National Congress,207024,149825,72.4 %,1984,1.3%
Panna,60,GEN,Panna,Brijendra Pratap Singh,Bharatiya Janta Party,223918,169309,75.6 %,20708,12.2%
Chitrakoot,61,GEN,Satna,Neelanshu Chaturvedi,Indian National Congress,196339,142498,72.6 %,10198,7.2%
Raigaon,62,SC,Satna,Jugul Kishor Bagri,Bharatiya Janta Party,195114,144974,74.3 %,17421,12.0%
Satna,63,GEN,Satna,Dabbu Siddharth Sukhlal Kushwaha,Indian National Congress,232501,160414,69.0 %,12558,7.8%
